prompt_id,label,solved_models,difficulty,num_qubits,num_clbits,gate_count,gate_type_count,families,gpt-5.5,gpt-5.4-mini,claude-sonnet-4-6,claude-opus-4-8,gemini-2.5-pro,gemini-3.1-pro-preview,deepseek-v4-pro,deepseek-v4-flash,mistral-ai/codestral-2501,llama-3.3-70b-versatile,openai/gpt-oss-120b,openai/gpt-oss-20b,qwen/qwen3-32b,meta-llama/llama-4-scout-17b-16e-instruct,llama-3.1-8b-instant,instruction
pqid_bench_external_gen_0060,extended_n8,0,1.000000,3,3,25,12,pauli_measurement;deep_mixed_rotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a 3-qubit Qiskit circuit with a deep gate sequence that mixes single-qubit phase/Pauli operations with entangling RZZ, RXX, and a SWAP, including angles like pi, pi/2, pi/3, and a very small phase on one qubit."
pqid_bench_external_gen_0002,strict_n8,0,1.000000,3,3,10,6,teleportation;bell_or_superdense;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Build a 3-qubit, 3-classical-bit quantum teleportation circuit that teleports the state |1⟩ from qubit 0 to qubit 2: initialize q0 with X, create a Bell pair on q1 and q2 with H and CX, apply Alice’s CX(q0,q1) and H(q0), measure q0 and q1 into c0 and c1, then apply CX(q1,q2) and CZ(q0,q2), add barriers between stages, and finally measure q2 into c2."
pqid_bench_external_gen_0046,extended_n8,0,1.000000,5,4,15,5,deutsch_jozsa;oracle_logic;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a Qiskit circuit for a 4-input balanced Deutsch–Jozsa oracle that uses 5 qubits total: prepare the ancilla in |1>, apply Hadamards to all qubits, implement the balanced oracle with a CNOT from the fourth input qubit to the ancilla, then apply Hadamards to the four input qubits and measure those four inputs into 4 classical bits."
pqid_bench_external_gen_0022,strict_n8,0,1.000000,3,3,13,5,error_correction;arithmetic_toffoli;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a Qiskit circuit for a 3-qubit phase-flip error-correction example: encode qubit 0 onto qubits 1 and 2 with two CNOTs, apply Hadamards to all three qubits, insert a Z error on qubit 0, apply Hadamards again, decode with the same two CNOTs, correct with a Toffoli using qubits 2 and 1 as controls on qubit 0, and measure qubit 0 into classical bit 0."
pqid_bench_external_gen_0050,extended_n8,0,1.000000,4,4,12,5,arithmetic_toffoli;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a 4-qubit Qiskit circuit that starts with an X on qubit 0, applies a barrier, runs CX(0,1), CX(0,2), CCX(2,1,0), and CCX(0,1,3), then after another barrier reverses the first three of those operations and measures all qubits."
pqid_bench_external_gen_0036,extended_n8,0,1.000000,4,3,10,5,deutsch_jozsa;oracle_logic;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a compact Qiskit circuit for a 4-qubit Deutsch–Jozsa-style setup: initialize the last qubit in |1>, apply Hadamards to all four qubits, use a single CNOT from qubit 0 to the ancilla as the oracle, then apply Hadamards to qubits 0 and 1 and measure those two qubits into classical bits 0 and 1."
pqid_bench_external_gen_0069,strict_n8,0,1.000000,3,3,9,5,pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a Qiskit circuit on 3 qubits that applies H on qubit 0, then a controlled-S from qubit 1 to 0, a controlled-T from qubit 2 to 0, H on qubit 1, a controlled-S from qubit 2 to 1, H on qubit 2, and finally measures all qubits."
pqid_bench_external_gen_0052,extended_n8,0,1.000000,4,2,7,5,arithmetic_toffoli;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a compact Qiskit circuit for a 1-bit quantum half-adder that uses 4 qubits and 2 classical bits, initializes both input bits to 1, computes sum and carry with CNOT and Toffoli gates, and measures the result qubits."
pqid_bench_external_gen_0038,extended_n8,0,1.000000,2,1,6,5,pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a Qiskit circuit with 2 qubits and 1 classical bit that applies X on qubit 1, then barriers around a layer of H on both qubits, a CX from qubit 0 to qubit 1, a final H on qubit 0, and measures only qubit 0."
pqid_bench_external_gen_0040,extended_n8,0,1.000000,3,0,18,4,arithmetic_toffoli;deep_mixed_rotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a 3-qubit Qiskit circuit that implements the shown CCX-style decomposition using only single-qubit rotations, RXX interactions, and a final phase on qubit 2, matching the gate order in the source."
