prompt_id,label,solved_models,difficulty,num_qubits,num_clbits,gate_count,gate_type_count,families,gpt-5.6-sol,gpt-5.5,gpt-5.4-mini,claude-fable-5,claude-sonnet-4-6,claude-opus-4-8,gemini-2.5-pro,gemini-3.1-pro-preview,deepseek-v4-pro,deepseek-v4-flash,mistral-ai/codestral-2501,qwen/qwen3-coder-next,meta/llama-4-maverick-17b-128e-instruct-fp8,llama-3.3-70b-versatile,openai/gpt-oss-120b,openai/gpt-oss-20b,qwen/qwen3-32b,meta-llama/llama-4-scout-17b-16e-instruct,llama-3.1-8b-instant,instruction
pqid_bench_external_gen_0106,extended_n8,0,1.000000,3,3,25,15,arithmetic_toffoli;deep_mixed_rotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a 3-qubit Qiskit circuit with a deep, mixed gate pattern that includes Fredkin, Toffoli, CZ, SWAP, RZZ, RXX, and single-qubit phase/rotation gates, using angles like π/8, π/13, π/3, π/2, π, and π/26."
pqid_bench_external_gen_0142,extended_n8,0,1.000000,3,3,25,14,arithmetic_toffoli;deep_mixed_rotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a 3-qubit Qiskit circuit with a deep mix of swap-family and controlled operations, including at least one cswap, one ccx, one cz, and two parameterized rotations such as rz, ry, or rzz, to resemble a bug-stress test circuit."
pqid_bench_external_gen_0060,extended_n8,0,1.000000,3,3,25,12,pauli_measurement;deep_mixed_rotation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a 3-qubit Qiskit circuit with a deep gate sequence that mixes single-qubit phase/Pauli operations with entangling RZZ, RXX, and a SWAP, including angles like pi, pi/2, pi/3, and a very small phase on one qubit."
pqid_bench_external_gen_0136,strict_n8,0,1.000000,3,3,19,6,fourier_qft_phase;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Build a 3-qubit Qiskit circuit that prepares |101>, applies a 3-qubit QFT, inserts a barrier, then applies the matching inverse QFT and measures all qubits."
pqid_bench_external_gen_0091,strict_n8,0,1.000000,20,20,134,5,pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a Qiskit circuit with 20 qubits and 20 classical bits that applies the given sequence of rx, ry, rz, and cx operations in order, then measures every qubit into the matching classical bit."
pqid_bench_external_gen_0046,extended_n8,0,1.000000,5,4,15,5,deutsch_jozsa;oracle_logic;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a Qiskit circuit for a 4-input balanced Deutsch–Jozsa oracle that uses 5 qubits total: prepare the ancilla in |1>, apply Hadamards to all qubits, implement the balanced oracle with a CNOT from the fourth input qubit to the ancilla, then apply Hadamards to the four input qubits and measure those four inputs into 4 classical bits."
pqid_bench_external_gen_0022,strict_n8,0,1.000000,3,3,13,5,error_correction;arithmetic_toffoli;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a Qiskit circuit for a 3-qubit phase-flip error-correction example: encode qubit 0 onto qubits 1 and 2 with two CNOTs, apply Hadamards to all three qubits, insert a Z error on qubit 0, apply Hadamards again, decode with the same two CNOTs, correct with a Toffoli using qubits 2 and 1 as controls on qubit 0, and measure qubit 0 into classical bit 0."
pqid_bench_external_gen_0050,extended_n8,0,1.000000,4,4,12,5,arithmetic_toffoli;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a 4-qubit Qiskit circuit that starts with an X on qubit 0, applies a barrier, runs CX(0,1), CX(0,2), CCX(2,1,0), and CCX(0,1,3), then after another barrier reverses the first three of those operations and measures all qubits."
pqid_bench_external_gen_0036,extended_n8,0,1.000000,4,3,10,5,deutsch_jozsa;oracle_logic;pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a compact Qiskit circuit for a 4-qubit Deutsch–Jozsa-style setup: initialize the last qubit in |1>, apply Hadamards to all four qubits, use a single CNOT from qubit 0 to the ancilla as the oracle, then apply Hadamards to qubits 0 and 1 and measure those two qubits into classical bits 0 and 1."
pqid_bench_external_gen_0069,strict_n8,0,1.000000,3,3,9,5,pauli_measurement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Create a Qiskit circuit on 3 qubits that applies H on qubit 0, then a controlled-S from qubit 1 to 0, a controlled-T from qubit 2 to 0, H on qubit 1, a controlled-S from qubit 2 to 1, H on qubit 2, and finally measures all qubits."
